id,name,category
electricity-supply_grid-source_supplier_mix,Electricity supplied from grid,Electricity
accommodation-type_hotel_stay,Hotel stay,Accommodation
electricity-supply_grid-source_residual_mix,Electricity supplied from grid - residual mix,Electricity
accommodation-type_hotel_stay-rating_3_star,Hotel stay (3 star),Accommodation
accommodation-type_hotel_stay-rating_4_star,Hotel stay (4 star),Accommodation
accommodation-type_hotel_stay-rating_2_star,Hotel stay (2 star),Accommodation
accommodation-type_hotel_stay-rating_5_star,Hotel stay (5 star),Accommodation
electricity-supply_grid-source_production_mix,Electricity supplied from grid - production mix,Electricity
electricity-supply_grid-source_total_supplier_mix,Electricity supplied from grid - total supplier mix,Electricity
electricity-supply_grid-source_supplier_mix_losses,Electricity supplied from grid: T&D losses,Electricity
electricity-supply_grid-source_supplier_mix_non_baseload,Electricity supplied from grid (non-baseload),Electricity
building_materials-type_cement_production,Cement production,Building Materials
fuel-type_natural_gas-fuel_use_industrial,Natural gas (industrial subsector),Fuel
fuel-type_natural_gas-fuel_use_electric_utilities,Natural gas (electric utilities subsector),Fuel
fuel-type_natural_gas-fuel_use_manufacturing,Natural gas (manufacturing industries subsector),Fuel
fuel-type_natural_gas-fuel_use_residential_construction_commercial_institutional_agriculture,Natural gas (residential / construction / commercial / institutional / agriculture subsector),Fuel
fuel-type_oil_and_gas-fuel_use_na,Oil and gas,Fuel
fuel-type_motor_gasoline-fuel_use_na,Motor gasoline,Fuel
chemicals-type_ammonia,Ammonia,Chemical Products
chemicals-type_ammonium_nitrate,Ammonium nitrate,Chemical Products
chemicals-type_ammonium_nitrate_caco3_or_inorganic_non_fertilisers,Ammonium nitrate - CaCO3 or inorganic non-fertilisers,Chemical Products
chemicals-type_ammonium_sulphate,Ammonium sulphate,Chemical Products
chemicals-type_diammonium_phosphate,Diammonium phosphate,Chemical Products
chemicals-type_double_salts_ammonium_sulphate_nitrate,Double salts ammonium sulphate / nitrate,Chemical Products
chemicals-type_double_salts_mixtures_ammonium_sulphate_nitrate,Double salts mixtures ammonium sulphate / nitrate,Chemical Products
chemicals-type_fertilisers_containing_npk,Fertilisers containing NPK,Chemical Products
chemicals-type_mixes_of_urea_and_ammonium_nitrate,Mixes of urea and ammonium nitrate,Chemical Products
chemicals-type_monoammonium_phosphate,Monoammonium phosphate,Chemical Products
chemicals-type_nitrates_of_potassium,Nitrates of potassium,Chemical Products
chemicals-type_nitric_acid_sulphonitric_acids,Nitric acid sulphonitric acids,Chemical Products
chemicals-type_other_np_fertilisers,Other NP fertilisers,Chemical Products
chemicals-type_other_np_fertilisers_excl._nitrates_phosphates,Other NP fertilisers (excl. nitrates phosphates),Chemical Products
chemicals-type_sodium_nitrate,Sodium nitrate,Chemical Products
chemicals-type_urea,Urea,Chemical Products
fuel-type_naphtha-fuel_use_na,Naphtha,Fuel
metals-type_steel_production,Steel production,Metals
mined_materials-type_coal,Fugitive methane emissions from coal mining,Mined Materials
building_materials-type_aluminous_cement,Aluminous cement,Building Materials
building_materials-type_calcined_clay,Calcined clay,Building Materials
building_materials-type_cem_i_grey_portland_cement,CEM I grey (portland cement),Building Materials
building_materials-type_cem_i_white_portland_cement,CEM I white (portland cement),Building Materials
building_materials-type_grey_clinker,Grey clinker,Building Materials
building_materials-type_other_grey_cements,Other grey cements,Building Materials
building_materials-type_other_white_cements,Other white cements,Building Materials
building_materials-type_white_clinker,White clinker,Building Materials
fuel-type_petroleum_coke-fuel_use_na,Petroleum coke,Fuel
metals-type_alloy_steel_flat_rolled_gt_600mm_cold_rolled_annealed,Alloy steel - flat-rolled >600mm cold-rolled annealed,Metals
metals-type_alloy_steel_flat_rolled_gt_600mm_hot_rolled,Alloy steel - flat-rolled >600mm hot-rolled,Metals
metals-type_alloy_steel_flat_rolled_gt_600mm_plated_coated,Alloy steel - flat-rolled >600mm plated coated,Metals
metals-type_alloy_steel_flat_rolled_lt_600mm_cold_rolled_annealed,Alloy steel - flat-rolled <600mm cold-rolled annealed,Metals
metals-type_alloy_steel_flat_rolled_lt_600mm_hot_rolled,Alloy steel - flat-rolled <600mm hot-rolled,Metals
metals-type_alloy_steel_flat_rolled_lt_600mm_plated_coated,Alloy steel - flat-rolled <600mm plated coated,Metals
metals-type_alloy_steel_primary_hot_rolled_flat,Alloy steel - primary - hot-rolled flat,Metals
metals-type_alloy_steel_primary_ingots_forgings,Alloy steel - primary ingots forgings,Metals
metals-type_aluminium_alloys_bars_rods,Aluminium - alloys - bars / rods,Metals
metals-type_aluminium_alloys_hollow_profiles,Aluminium - alloys - hollow profiles,Metals
metals-type_aluminium_alloys_profiles,Aluminium - alloys - profiles,Metals
metals-type_aluminium_not_alloyed_bars_rods,Aluminium - not alloyed - bars / rods,Metals
metals-type_aluminium_not_alloyed_profiles,Aluminium - not alloyed - profiles,Metals
metals-type_aluminium_powders_flakes,Aluminium - powders / flakes,Metals
metals-type_aluminium_unwrought,Aluminium - unwrought,Metals
metals-type_aluminium_wire,Aluminium - wire,Metals
metals-type_cast_iron_tube_pipe_fittings_forgings,Cast iron - tube pipe fittings forgings,Metals
metals-type_cast_steel_tube_pipe_fittings_forgings,Cast steel - tube pipe fittings forgings,Metals
metals-type_ferro_alloys_ferro_chromium,Ferro-alloys - ferro-chromium,Metals
metals-type_ferro_alloys_ferro_manganese,Ferro-alloys - ferro-manganese,Metals
metals-type_ferro_alloys_ferro_nickel,Ferro-alloys - ferro-nickel,Metals
metals-type_ferrous_products_direct_reduction_iron_core,Ferrous products - direct reduction iron core,Metals
metals-type_iron_non_alloy_steel_angles_shapes_sections,Iron non-alloy steel - angles shapes sections,Metals
metals-type_iron_non_alloy_steel_bars_rods_hot_rolled_coils,Iron non-alloy steel - bars rods hot-rolled coils,Metals
metals-type_iron_non_alloy_steel_bars_rods_hot_rolled_drawn_extruded_forgings,Iron non-alloy steel - bars rods hot-rolled drawn extruded forgings,Metals
metals-type_iron_non_alloy_steel_bars_rods_long,Iron non-alloy steel - bars / rods / long,Metals
metals-type_iron_non_alloy_steel_bars_rods_nec,Iron non-alloy steel - bars rods nec,Metals
metals-type_iron_non_alloy_steel_flat_rolled_gt_600mm_clad_plated_coated,Iron non-alloy steel - flat-rolled >600mm - clad plated coated,Metals
metals-type_iron_non_alloy_steel_flat_rolled_gt_600mm_cold_rolled,Iron non-alloy steel - flat-rolled >600mm cold-rolled,Metals
metals-type_iron_non_alloy_steel_flat_rolled_gt_600mm_hot_rolled,Iron non-alloy steel - flat-rolled >600mm hot-rolled,Metals
metals-type_iron_non_alloy_steel_flat_rolled_lt_600mm_clad_plated_coated,Iron non-alloy steel - flat-rolled <600mm clad plated coated,Metals
metals-type_iron_non_alloy_steel_flat_rolled_lt_600mm_hot_rolled,Iron non-alloy steel - flat-rolled <600mm hot-rolled,Metals
metals-type_iron_non_alloy_steel_flat_rolled_lt_600mm_hot_rolled_flat,Iron non-alloy steel - flat-rolled <600mm - hot-rolled flat,Metals
metals-type_iron_non_alloy_steel_forgings,Iron non-alloy steel - forgings,Metals
metals-type_iron_non_alloy_steel_hot_rolled_drawn_extruded_bars_rods_long,Iron non-alloy steel - hot-rolled drawn extruded - bars rods long,Metals
metals-type_iron_non_alloy_steel_plated_coated_wires,Iron non-alloy steel - plated coated wires,Metals
metals-type_iron_non_alloy_steel_primary_continuous_casting_slab_billet_bloom,Iron non-alloy steel - primary - continuous casting slab billet bloom,Metals
metals-type_iron_non_alloy_steel_primary_ingots,Iron non-alloy steel - primary - ingots,Metals
metals-type_iron_non_alloy_steel_wires,Iron non-alloy steel - wires,Metals
metals-type_iron_ores_concentrates,Iron ores concentrates,Metals
metals-type_iron_steel_alloy_1_tubes_pipes_hollow_profiles_cold_rolled_flat,Iron steel alloy 1 - tubes pipes hollow profiles cold-rolled flat,Metals
metals-type_iron_steel_alloy_2_tubes_pipes_hollow_profiles_cold_rolled_flat,Iron steel alloy 2 - tubes pipes hollow profiles cold-rolled flat,Metals
metals-type_iron_steel_alloy_tubes_pipes_hollow_profiles_hot_rolled_flat,Iron steel alloy - tubes pipes hollow profiles hot-rolled flat,Metals
metals-type_iron_steel_alloys_1_beams_billets_rails_and_tubes,Iron steel alloys 1 - beams billets rails and tubes,Metals
metals-type_iron_steel_alloys_2_beams_billets_rails_and_tubes,Iron steel alloys 2 - beams billets rails and tubes,Metals
metals-type_iron_steel_coach_wood_screws_hooks_rings,Iron steel - coach wood screws hooks rings,Metals
metals-type_iron_steel_containers_for_gas,Iron steel - containers for gas,Metals
metals-type_iron_steel_forged_stamped_sintered,Iron steel - forged stamped sintered,Metals
metals-type_iron_steel_granules_powders,Iron steel - granules / powders,Metals
metals-type_iron_steel_ladders_guttering_reels,Iron steel - ladders - guttering reels,Metals
metals-type_iron_steel_nuts,Iron steel - nuts,Metals
metals-type_iron_steel_other,Iron steel - other,Metals
metals-type_iron_steel_other_screws_bolts,Iron steel - other screws bolts,Metals
metals-type_iron_steel_other_tubes_and_pipes,Iron steel - other tubes and pipes,Metals
metals-type_iron_steel_other_washers,Iron steel - other washers,Metals
metals-type_iron_steel_railway_tramway_track,Iron steel - railway tramway track,Metals
metals-type_iron_steel_reservoirs_tanks_vats_containers_gt_300l,Iron steel - reservoirs tanks vats containers >300l,Metals
metals-type_iron_steel_rivets,Iron steel - rivets,Metals
metals-type_iron_steel_sheet_piling,Iron steel - sheet piling,Metals
metals-type_iron_steel_structures_parts,Iron steel - structures / parts,Metals
metals-type_iron_steel_tanks_casks_drums_cans_boxes_containers_lt_300l,Iron steel - tanks casks drums cans boxes containers <300l,Metals
metals-type_iron_steel_tube_pipe_fittings_beams_billets_rails_tubes,Iron steel - tube pipe fittings beams billets rails tubes,Metals
metals-type_iron_steel_tubes_pipes_hollow_hot_rolled_flat,Iron steel - tubes pipes hollow hot-rolled flat,Metals
metals-type_iron_steel_tubes_pipes_hollow_profiles_cold_rolled_annealed_flat,Iron steel - tubes pipes hollow profiles cold-rolled annealed flat,Metals
metals-type_iron_steel_tubes_pipes_hollow_profiles_plated_coated_flat,Iron steel - tubes pipes hollow profiles plated coated flat,Metals
metals-type_iron_steel_wire,Iron steel - wire,Metals
metals-type_iron_tubes_pipes_hollow_profiles_cast,Iron - tubes pipes hollow profiles cast,Metals
metals-type_pig_iron_spiegeleisen_pigs_blocks_primary,Pig iron spiegeleisen - pigs blocks primary,Metals
metals-type_stainless_steel_angles_shapes_sections_forgings,Stainless steel - angles shapes sections forgings,Metals
metals-type_stainless_steel_bars_rods_hot_rolled_coils,Stainless steel - bars rods hot-rolled coils,Metals
metals-type_stainless_steel_flat_rolled_gt_600mm_cold_rolled_annealed,Stainless steel - flat-rolled >600mm cold-rolled annealed,Metals
metals-type_stainless_steel_flat_rolled_gt_600mm_hot_rolled,Stainless steel - flat-rolled >600mm hot-rolled,Metals
metals-type_stainless_steel_flat_rolled_lt_600mm_cold_rolled_annealed,Stainless steel - flat-rolled <600mm cold-rolled annealed,Metals
metals-type_stainless_steel_flat_rolled_lt_600mm_hot_rolled,Stainless steel - flat-rolled <600mm hot-rolled,Metals
metals-type_stainless_steel_semi_finished_hot_rolled_flat,Stainless steel - semi-finished hot-rolled flat,Metals
metals-type_stainless_steel_semi_finished_ingots_forgings,Stainless steel - semi-finished ingots forgings,Metals
metals-type_stainless_steel_shapes_sections_bars_rods_long,Stainless steel - shapes sections bars rods long,Metals
metals-type_stainless_steel_tube_pipe_fittings_beams_billets_rails_tubes,Stainless steel - tube pipe fittings beams billets rails tubes,Metals
metals-type_stainless_steel_wire,Stainless steel - wire,Metals
metals-type_stainless_steel_wood_self_tapping_screws,Stainless steel - wood self-tapping screws,Metals
metals-type_steel_alloy_bars_rods_hot_rolled_coils,Steel alloy - bars rods hot-rolled coils,Metals
metals-type_steel_hollow_bars_rods_long,Steel - hollow bars rods long,Metals
metals-type_steel_hollow_drill_bars_rods_forgings,Steel - hollow drill bars rods - forgings,Metals
metals-type_steel_other_alloy_wire,Steel other alloy - wire,Metals
fuel-type_heavy_fuel_oil-fuel_use_na,Heavy fuel oil,Fuel
consumer_goods-type_dairy_products,Dairy products,Food/Beverages/Tobacco
education-type_education_services,Education services,Education
financial_services-type_financial_intermediation_services_except_insurance_pension_funding_services,Financial intermediation services (except insurance and pension funding services),Financial Services
insurance-type_insurance_pension_funding_services_except_compulsory_social_security_services,Insurance and pension funding services (except compulsory social security services),Insurance Services
passenger_vehicle-vehicle_type_other_transport_equipment-fuel_source_na-engine_size_na-vehicle_age_na-vehicle_weight_na,Other transport equipment,Vehicles
textiles-type_textiles,Textiles,Textiles
glass_products-type_glass_and_glass_products,Glass and glass products,Glass and Glass Products
consumer_goods-type_meat_products_beef,Meat products (beef),Food/Beverages/Tobacco
consumer_goods-type_sugar,Sugar,Food/Beverages/Tobacco
consumer_goods-type_tobacco_products,Tobacco products,Food/Beverages/Tobacco
livestock_farming-type_raw_milk,Raw milk,Livestock Farming
arable_farming-type_cereal_grains_not_elsewhere_specified,Cereal grains (not elsewhere specified),Arable Farming
arable_farming-type_crops_not_elsewhere_specified,Crops (not elsewhere specified),Arable Farming
arable_farming-type_vegetables_fruit_nuts,Vegetables / fruits / nuts,Arable Farming
ceramics-type_ceramic_goods,Ceramic goods,Ceramic Goods
chemicals-type_chemicals_not_elsewhere_specified,Chemicals (not elsewhere specified),Chemical Products
communication_services-type_post_telecommunication,Post and telecommunication,Information and Communication Services
construction-type_construction_work,Construction work,Construction
consumer_goods-type_beverages,Beverages,Food/Beverages/Tobacco
consumer_goods-type_fish_products,Fish products,Food/Beverages/Tobacco
consumer_goods-type_food_products_not_elsewhere_specified,Food products (not elsewhere specified),Food/Beverages/Tobacco
consumer_goods-type_furniture_other_manufactured_goods_not_elsewhere_specified,Furniture/other manufactured goods (not elsewhere specified),Furnishings and Household
consumer_goods-type_meat_products_not_elsewhere_specified,Meat products (not elsewhere specified),Food/Beverages/Tobacco
consumer_goods-type_meat_products_pork,Meat products (pork),Food/Beverages/Tobacco
consumer_goods-type_meat_products_poultry,Meat products (poultry),Food/Beverages/Tobacco
consumer_goods-type_vegetable_oils_fats,Vegetable oils and fats,Food/Beverages/Tobacco
electrical_equipment-type_electrical_machinery_apparatus_not_elsewhere_specified,Electrical machinery and apparatus (not elsewhere specified),Electrical Equipment
electrical_equipment-type_medical_precision_optical_instruments_watches_clocks,Medical/precision and optical instruments/watches and clocks,Electrical Equipment
electrical_equipment-type_radio_television_communication_equipment_apparatus,Radio/television and communication equipment and apparatus,Electrical Equipment
energy_services-type_distribution_trade_of_electricity_services,Distribution and trade of electricity (services),Energy Services
energy_services-type_transmission_of_electricity_services,Transmission of electricity (services),Energy Services
fishing_aquaculture-type_fish_other_fishing_products_services_incidental_of_fishing,Fish and other fishing products / services incidental of fishing,Fishing/Aquaculture/Hunting
fuel-type_gas_diesel_oil-fuel_use_na,Gas/diesel oil,Fuel
fuel-type_refinery_gas-fuel_use_na,Refinery gas,Fuel
health_social_care-type_health_social_work,Health and social work,Health and Social Care
livestock_farming-type_poultry,Poultry,Livestock Farming
machinery-type_machinery_equipment_not_elsewhere_specified,Machinery / equipment not specific,Machinery
metal_products-type_fabricated_metal_products_except_machinery_equipment,Fabricated metal products/except machinery and equipment,Fabricated Metal Products
metals-type_basic_iron_steel_of_ferroalloys_first_products,Basic iron and steel and of ferroalloys and first products thereof,Metals
metals-type_copper_products,Copper products,Metals
other_materials-type_other_nonmetallic_mineral_products,Other nonmetallic mineral products,Other Materials
paper_products-type_paper_paper_products,Paper and paper products,Paper Products
paper_products-type_printed_matter_recorded_media,Printed matter and recorded media,Paper Products
passenger_vehicle-vehicle_type_motor_vehicles_trailers_semitrailers-fuel_source_na-engine_size_na-vehicle_age_na-vehicle_weight_na,Motor vehicles/trailers and semi-trailers,Vehicles
plastics_rubber-type_rubber_plastic_products,Rubber and plastic products,Plastics and Rubber Products
professional_services-type_computer_related_services,Computer and related services,Professional Services and Activities
professional_services-type_foundry_work_services,Foundry work services,Professional Services and Activities
professional_services-type_other_business_services,Other business services,Professional Services and Activities
professional_services-type_research_development_services,Research and development services,Professional Services and Activities
real_estate-type_real_estate_services,Real estate services,Real Estate
restaurants_accommodation-type_hotel_restaurant_services,Hotel and restaurant (services),Restaurants and Accommodation
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood / cork / straw / plaiting materials,Timber and Forestry Products
transport_services-type_air_transport_services,Air transport services,Transport Services and Warehousing
transport_services-type_railway_transportation_services,Rail transport services,Transport Services and Warehousing
transport_services-type_supporting_auxiliary_and_travel_agency_services,Supporting and auxiliary transport services / travel agency services,Transport Services and Warehousing
transport_services-type_transportation_services_via_pipelines,Transportation services via pipelines,Transport Services and Warehousing
vehicle_manufacture-type_sale_maintenance_repair_parts_accessories_motor_vehicles_motorcycles,Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,Vehicles
building_materials-type_bricks_tiles_construction_products_in_baked_clay,Bricks/tiles and construction products in baked clay,Building Materials
consumer_goods-type_processed_rice,Processed rice,Food/Beverages/Tobacco
consumer_goods-type_wearing_apparel_furs,Wearing apparel/furs,Clothing and Footwear
financial_services-type_services_auxiliary_to_financial_intermediation,Services auxiliary to financial intermediation,Financial Services
fuel-type_motor_fuel-fuel_use_na,Retail trade of motor fuel (services),Fuel
fuel-type_natural_gas-fuel_use_na,Natural gas,Fuel
general_retail-type_retail_trade_except_of_motor_vehicles_motorcycles_repair_of_personal_household_goods_services,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),General Retail
livestock_farming-type_cattle,Cattle,Livestock Farming
livestock_farming-type_pigs,Pigs,Livestock Farming
metals-type_aluminium_casks_drums_cans_boxes,Aluminium - casks / drums / cans / boxes,Metals
metals-type_aluminium_containers_for_compressed_or_liquefied_gas,Aluminium - containers for compressed or liquefied gas,Metals
metals-type_aluminium_doors_windows,Aluminium - doors / windows,Metals
metals-type_aluminium_foil,Aluminium - foil,Metals
metals-type_aluminium_nails_tacks_staples_screws,Aluminium - nails / tacks / staples / screws,Metals
metals-type_aluminium_other_cast,Aluminium - other - cast,Metals
metals-type_aluminium_other_nes,Aluminium - other (nes),Metals
metals-type_aluminium_parts_of_structures_other_nes,Aluminium - parts of structures - other nes,Metals
metals-type_aluminium_plates_sheets_strip,Aluminium - plates / sheets / strip,Metals
metals-type_aluminium_reservoirs_tanks_vats,Aluminium - reservoirs / tanks / vats,Metals
metals-type_aluminium_stranded_wire_cables_plaited_bands,Aluminium - stranded wire / cables / plaited bands,Metals
metals-type_aluminium_structures_other,Aluminium - structures - other,Metals
metals-type_aluminium_towers_lattice_masts,Aluminium - towers / lattice masts,Metals
metals-type_aluminium_tube_pipe_fittings,Aluminium - tube / pipe fittings,Metals
metals-type_aluminium_tubes_pipes,Aluminium - tubes / pipes,Metals
metals-type_aluminium_wire_cloth_grill_netting_fencing,Aluminium - wire - cloth / grill / netting / fencing,Metals
office_equipment-type_office_machinery_computers,Office machinery and computers,Office Equipment
organic_products-type_p_and_other_fertiliser,P and other fertiliser,Organic Products
organizational_activity-type_membership_organisation_services_not_elsewhere_specified,Membership organisation services (not elsewhere specified),Organizational Activities
organizational_activity-type_public_administration_defense_services_compulsory_social_security_services,Public administration and defense services/compulsory social security services,Government Activities
paper_products-type_pulp,Pulp,Paper Products
plastics_rubber-type_plastics_basic,Plastics/basic,Plastics and Rubber Products
timber_forestry-type_products_of_forestry_logging_related_services,Products of forestry/logging and related services,Timber and Forestry Products
transport_services-type_sea_coastal_water_transportation_services,Sea and coastal water transportation services,Transport Services and Warehousing
wholesale_trade-type_wholesale_trade_commission_trade_services_except_of_motor_vehicles_motorcycles,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),Wholesale Trade
arable_farming-type_oil_seeds,Oil seeds,Arable Farming
chemicals-type_chemical_fertilizer_minerals_salt_other_mining_quarrying_products_not_elsewhere_specified,Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),Chemical Products
consumer_goods-type_leather_leather_products,Leather and leather products,Clothing and Footwear
consumer_goods-type_recreational_cultural_sporting_services,Recreational/cultural and sporting services,Recreation and Culture
electricity-supply_grid-source_hydro,Electricity generated from hydro,Electricity
electricity-supply_grid-source_petroleum_other_oil_derivatives,Electricity generated from petroleum and other oil derivatives,Electricity
equipment_rental-type_rental_of_machinery_equipment_without_operator_of_personal_household_goods,Rental of machinery and equipment (without operator) and of personal and household goods (services),Equipment Rental
fuel-type_kerosene_type_jet_fuel-fuel_use_aviation,Kerosene-type jet fuel,Fuel
fuel-type_liquefied_petroleum_gases-fuel_use_na,LPG (liquefied petroleum gas),Fuel
fuel-type_nonspecified_petroleum_products-fuel_use_na,Nonspecified petroleum products,Fuel
livestock_farming-type_animal_products_not_elsewhere_specified,Animal products (not elsewhere specified),Livestock Farming
metals-type_aluminium_and_aluminium_products,Aluminium and aluminium products,Metals
metals-type_lead_zinc_tin_products,Lead/zinc and tin and products thereof,Metals
metals-type_other_nonferrous_metal_products,Other nonferrous metal products,Metals
metals-type_precious_metals,Precious metals,Metals
organizational_activity-type_other_services_not_elsewhere_specified,Other services (not elsewhere specified),Organizational Activities
other_materials-type_sand_clay,Sand and clay,Other Materials
transport_services-type_other_land_transportation_services,Other land transportation services,Transport Services and Warehousing
waste_management-type_food_waste_for_treatment_waste_water_treatment,Food waste for treatment: waste water treatment,Waste Management
waste_management-type_other_waste_for_treatment_waste_water_treatment,Other waste for treatment: waste water treatment,Waste Management
water_treatment-type_collected_purified_water_distribution_of_water_services,Collected and purified water / distribution of water (services),Water Treatment
chemicals-type_bitumen,Bitumen,Chemical Products
chemicals-type_lubricants,Lubricants,Chemical Products
electricity-supply_grid-source_biomass_waste,Electricity generated from biomass and waste,Electricity
organic_products-type_n_fertiliser,N fertiliser,Organic Products
arable_farming-type_wheat,Wheat,Arable Farming
electricity-supply_grid-source_gas,Electricity generated from gas,Electricity
fuel-type_blast_furnace_gas-fuel_use_na,Blast furnace gas,Fuel
fuel-type_kerosene-fuel_use_na,Kerosene,Fuel
metals-type_aluminium_household_articles_cast,Aluminium - household articles - cast,Metals
metals-type_aluminium_household_articles_foil,Aluminium - household articles - foil,Metals
metals-type_aluminium_household_articles_other,Aluminium - household articles - other,Metals
metals-type_aluminium_household_sanitary_ware,Aluminium - household - sanitary ware,Metals
arable_farming-type_sugar_cane_sugar_beet,Sugar cane/sugar beet,Arable Farming
building_materials-type_cement_lime_plaster,Cement/lime and plaster,Building Materials
domestic_services-type_private_households_with_employed_persons,Private households with employed persons,Domestic Services
electricity-supply_grid-source_coal,Electricity generated from coal,Electricity
energy_services-type_distribution_of_gaseous_fuels_through_mains_services,Distribution of gaseous fuels through mains (services),Energy Services
fuel-type_biodiesel-fuel_use_na,Biodiesel,Fuel
fuel-type_coke_oven_gas-fuel_use_na,Coke oven gas,Fuel
fuel-type_refinery_feedstocks-fuel_use_na,Refinery feedstocks,Fuel
other_materials-type_secondary_raw_materials,Secondary raw materials,Other Materials
transport_services-type_route_type_inland_water_transportation_services,Inland water transportation services,Transport Services and Warehousing
waste_management-type_food_waste_for_treatment_composting_land_application,Food waste for treatment: composting and land application,Waste Management
waste_management-type_inert_metal_hazardous_waste_for_treatment_landfill,Inert/metal/hazardous waste for treatment: landfill,Waste Management
electricity-supply_grid-source_nuclear,Electricity generated from nuclear,Electricity
fuel-type_diesel_bio_average-fuel_use_na,Diesel - average biofuel blend,Fuel
fuel-type_motor_gasoline_bio_average-fuel_use_na,Petrol - average biofuel blend,Fuel
fuel-type_nuclear_fuel-fuel_use_na,Nuclear fuel,Fuel
livestock_farming-type_meat_animals_not_elsewhere_specified,Meat animals (not elsewhere specified),Livestock Farming
mined_materials-type_stone,Stone,Mined Materials
waste_management-type_wood_waste_for_treatment_landfill,Wood waste for treatment: landfill,Waste Management
fuel-type_biogas-fuel_use_na,Biogas,Fuel
waste_management-type_inert_metal_waste_for_treatment_incineration,Inert/metal waste for treatment: incineration,Waste Management
waste_management-type_oil_hazardous_waste_for_treatment_incineration,Oil / hazardous waste for treatment: incineration,Waste Management
waste_management-type_paper_for_treatment_landfill,Paper for treatment: landfill,Waste Management
waste_management-type_paper_waste_for_treatment_incineration,Paper waste for treatment: incineration,Waste Management
waste_management-type_plastic_waste_for_treatment_landfill,Plastic waste for treatment: landfill,Waste Management
waste_management-type_textiles_waste_for_treatment_landfill,Textiles waste for treatment: landfill,Waste Management
waste_management-type_wood_waste_for_treatment_incineration,Wood waste for treatment: incineration,Waste Management
fuel-type_biogasoline-fuel_use_na,Biogasoline,Fuel
fuel-type_coke_oven_coke-fuel_use_na,Coke oven coke,Fuel
fuel-type_lpg-fuel_use_na,Liquefied petroleum gas LPG,Fuel
waste_management-type_food_waste_for_treatment_incineration,Food waste for treatment: incineration,Waste Management
chemicals-type_white_spirit_sbp,White spirit/SBP,Chemical Products
electricity-supply_grid-source_wind,Electricity generated from wind,Electricity
fuel-type_coal_tar-fuel_use_na,Coal tar,Fuel
fuel-type_diesel-fuel_use_na,Diesel - 100% mineral diesel,Fuel
fuel-type_paraffin_waxes-fuel_use_na,Paraffin waxes,Fuel
mined_materials-type_lead_zinc_tin_ores_concentrates,Lead/zinc and tin ores and concentrates,Mined Materials
waste_management-type_plastic_waste_for_treatment_incineration,Plastic waste for treatment: incineration,Waste Management
waste_management-type_textiles_waste_for_treatment_incineration,Textiles waste for treatment: incineration,Waste Management
fuel-type_aviation_gasoline-fuel_use_aviation,Aviation gasoline,Fuel
livestock_farming-type_wool_silkworm_cocoons,Wool/silkworm cocoons,Livestock Farming
mined_materials-type_copper_ores_concentrates,Copper ores and concentrates,Mined Materials
other_materials-type_additives_blending_components,Additives/blending components,Other Materials
arable_farming-type_plantbased_fibers,Plant-based fibres,Arable Farming
electricity-supply_grid-source_unknown,Electricity (not elsewhere specified),Electricity
fuel-type_aviation_turbine_fuel-fuel_use_mobile_aviation,Aviation turbine fuel,Fuel
mined_materials-type_natural_gas_services_related_to_natural_gas_extraction_excl_surveying,Natural gas and services related to natural gas extraction (excluding surveying),Mined Materials
mined_materials-type_precious_metal_ores_concentrates,Precious metal ores and concentrates,Mined Materials
waste_management-type_food_waste_for_treatment_landfill,Food waste for treatment: landfill,Waste Management
fuel-type_aviation_gasoline-fuel_use_mobile_aviation,Aviation spirit,Fuel
metals-type_aluminum_production,Aluminum production,Metals
mined_materials-type_crude_petroleum_services_related_to_crude_oil_extraction_excl_surveying,Crude petroleum and services related to crude oil extraction (excluding surveying),Mined Materials
mined_materials-type_other_nonferrous_metal_ores_concentrates,Other nonferrous metal ores and concentrates,Mined Materials
waste_management-type_paper_wood_waste_for_treatment_composting_land_application,Paper and wood waste for treatment: composting and land application,Waste Management
fuel-type_other_liquid_biofuels-fuel_use_na,Other liquid biofuels,Fuel
waste_management-type_sewage_sludge_for_treatment_biogasification_land_application,Sewage sludge for treatment: biogasification and land application,Waste Management
electricity-supply_grid-source_photovoltaic,Electricity generated from solar photovoltaic,Electricity
fuel-type_ethane-fuel_use_na,Ethane,Fuel
fuel-type_ethanol_bio_100-fuel_use_na,Bioethanol,Fuel
fuel-type_natural_gas_bio_average-fuel_use_na,Natural gas - grid biogas blend (gross CV),Fuel
mined_materials-type_iron_ores,Iron ores,Mined Materials
mined_materials-type_nickel_ores_concentrates,Nickel ores and concentrates,Mined Materials
mined_materials-type_other_bituminous_coal,Other bituminous coal,Mined Materials
waste_management-type_food_waste_for_treatment_biogasification_land_application,Food waste for treatment: biogasification and land application,Waste Management
waste_management-type_paper_waste_for_treatment_biogasification_land_application,Paper waste for treatment: biogasification and land application,Waste Management
mined_materials-type_coking_coal,Coking coal,Mined Materials
fuel-type_gas-fuel_use_na,Gas works gas,Fuel
fuel-type_oxygen_steel_furnace_gas-fuel_use_na,Oxygen steel furnace gas,Fuel
